epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.218,0.49332,1.55716,0.20398,0.42773,0.88083,0.98282,0.98155,0.98873,0.91511,0.99961,0.99967,0.9948,0.66811,0.40152,1.4939,0.11885,0.3481,0.78487,0.00066565,0.00066565,0.00066565
2,1291.76,0.48322,1.47341,0.14464,0.40628,0.87342,0.98185,0.98188,0.98778,0.94196,0.99962,0.99967,0.99483,0.70209,0.33582,1.41623,0.13078,0.32231,0.77926,0.00106852,0.00106852,0.00106852
3,1997.93,0.42852,1.28026,0.11927,0.36963,0.8597,0.98317,0.98165,0.99073,0.96674,0.99997,1,0.995,0.7203,0.2743,1.30342,0.1519,0.26787,0.76884,0.00120739,0.00120739,0.00120739
4,2685.96,0.38085,1.13705,0.10296,0.33876,0.84898,0.98511,0.98106,0.9916,0.98024,0.99998,1,0.995,0.74206,0.23345,1.21956,0.06071,0.23864,0.76019,0.000812,0.000812,0.000812
5,3322.57,0.34004,0.99791,0.08842,0.30459,0.8415,0.98361,0.98023,0.99205,0.9836,0.99997,1,0.995,0.75408,0.21469,1.17821,0.03103,0.21885,0.7571,0.000416,0.000416,0.000416
