epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.228,0.75943,2.43373,0.29979,0.77522,1.06796,0.98175,0.97595,0.98133,0.92664,0.99998,0.99407,0.995,0.68511,0.32044,1.42001,0.15141,0.32847,0.78635,0.00066565,0.00066565,0.00066565
2,2070.63,0.45187,1.42839,0.15885,0.38305,0.87706,0.98188,0.98218,0.99055,0.95718,0.99965,0.99967,0.99479,0.70045,0.30234,1.39808,0.13249,0.26863,0.77445,0.00106852,0.00106852,0.00106852
3,3275.3,0.4062,1.23476,0.13249,0.3458,0.86069,0.98186,0.98188,0.99086,0.97107,0.99998,1,0.995,0.73676,0.25232,1.23723,0.16219,0.2409,0.76495,0.00120739,0.00120739,0.00120739
4,4677.45,0.37104,1.12905,0.11744,0.32559,0.85248,0.98232,0.98188,0.99124,0.97703,0.99997,1,0.995,0.75375,0.2358,1.19203,0.11941,0.2372,0.76103,0.000812,0.000812,0.000812
5,6268.61,0.33592,1.00532,0.10694,0.29875,0.84472,0.98187,0.98188,0.99172,0.98011,0.99998,1,0.995,0.76109,0.20825,1.16182,0.14286,0.20294,0.75761,0.000416,0.000416,0.000416
